,ねぎ,玉ねぎ
afrikaans,Groenui,ui
albanian,Qepë e gjelbërt,qepë
amharic,አረንጓዴ ሽንኩርት,ሽንኩርት
arabic,بصل أخضر,بصلة
armenian,Կանաչ սոխ,սոխ
azerbaijani,Yaşıl soğan,soğan
basque,Tipula berdea,tipula
belarusian,Зялёны лук,цыбуля
bengali,সবুজ পেঁয়াজ,পেঁয়াজ
bosnian,Zeleni luk,luk
bulgarian,Зелен лук,лук
catalan,Ceba verda,ceba
cebuano,Berde nga sibuyas,sibuyas
chichewa,Obiriwira anyezi,anyezi
chinese (simplified),葱,洋葱
chinese (traditional),蔥,洋蔥
corsican,Cipolla verde,cipolla
croatian,Zeleni luk,luk
czech,Zelená cibule,cibule
danish,Grønt løg,løg
dutch,Groene ui,ui
english,Green onion,onion
esperanto,Verda cepo,cepo
estonian,Roheline sibul,sibul
filipino,Berdeng sibuyas,sibuyas
finnish,Vihreä sipuli,sipuli
french,Oignon vert,oignon
frisian,Griene sipel,sipel
galician,Cebola verde.,cebola
georgian,Მწვანე ხახვი,ხახვი
german,Grüne Zwiebel,Zwiebel
greek,Φρέσκο ​​κρεμμυδάκι,κρεμμύδι
gujarati,લીલી ડુંગળી,ડુંગળી
haitian creole,Zonyon vèt,zonyon
hausa,Onion Green,albasa
hawaiian,Ka pua'ōmaʻomaʻo,mionana
hebrew,בצל ירוק,בצל
hebrew,בצל ירוק,בצל
hindi,हरी प्याज,प्याज
hmong,Ntsuab dos,lub dos
hungarian,Zöld hagyma,hagyma
icelandic,Grænn laukur,laukur
igbo,Akwụkwọ ndụ akwụkwọ ndụ,yabasị
indonesian,Bawang hijau,Bawang
irish,Oinniún glas,oinniún
italian,Cipolla verde,cipolla
japanese,ねぎ,玉ねぎ
javanese,Bawang ijo,bawang
kannada,ಹಸಿರು ಈರುಳ್ಳಿ,ಈರುಳ್ಳಿ
kazakh,Жасыл пияз,пияз
khmer,ខ្ទឹមបារាំងបៃតង,ខ្ទឹមបារាមង
korean,파,양파
kurdish (kurmanji),Onion Green,pîvaz
kyrgyz,Жашыл пияз,пияз
lao,ຜັກ​ບົ່ວ​ຂຽວ,ຜັກບົ່ວ
latin,viridi cepa,cepa
latvian,Zaļie sīpoli,sīpols
lithuanian,Žalias svogūnas,svogūnai
luxembourgish,Gréng Zwiebel,doiicht
macedonian,Зелен кромид,кромид
malagasy,Green Onion,tongolo
malay,Bawang hijau,bawang
malayalam,പച്ച ഉള്ളി,ഉള്ളി
maltese,Onion aħdar,Onion.
maori,Aniona matomato,aniana
marathi,हिरव्या कांदा,कांदा
mongolian,Ногоон сонгино,сонгино
myanmar (burmese),အစိမ်းရောင်ကြက်သွန်,ကြက်သွန်နီ
nepali,हरियो प्याज,प्याज
norwegian,Grønn løk,løk
odia,ସବୁଜ ପିଆଜ,ପିଆଜ |
pashto,زرغون پیاز,پیاز
persian,پیازچه,پیاز
polish,Zielona cebula,cebula
portuguese,Cebola verde,cebola
punjabi,ਹਰੇ ਪਿਆਜ਼,ਪਿਆਜ
romanian,Ceapa verde,ceapă
russian,Зеленый лук,лук
samoan,Lanumeamata lanumeamata,aniani
scots gaelic,Uinnean uaine,uinnean
serbian,Млади црни лук,лук
sesotho,Onion e tala,Anyanese
shona,Girini hanyanisi,oion
sindhi,گرحو پيارو,بصر
sinhala,කොළ ලූනු,ලූනු
slovak,Zelená Cibuľa,Cibuľa
slovenian,Zelena čebula,čebula
somali,Basal cagaaran,basal
spanish,Cebolla verde,cebolla
sundanese,Bawang héjo,bawang
swahili,Green vitunguu.,vitunguu
swedish,Grönlök,lök
tajik,Пиёз сабз,пиёз
tamil,பச்சை வெங்காயம்,வெங்காயம்
telugu,ఆకుపచ్చ ఉల్లిపాయ,ఉల్లిపాయ
thai,หัวหอมสีเขียว,หัวหอม
turkish,Yeşil soğan,soğan
ukrainian,Зелена цибуля,цибуля
urdu,ہری پیاز,پیاز
uyghur,يېشىل پىياز,پىياز
uzbek,Yashil piyoz,piyoz
vietnamese,Hành lá,củ hành
welsh,Winwns gwyrdd,winwns
xhosa,I-anyanisi eluhlaza,itswele
yiddish,גרינע צוויבל,ציבעלע
yoruba,Alubosa alawọ ewe,Alubosa
zulu,U-anyanisi oluhlaza,u-anyanini
