,青ねぎ,玉ねぎ
アイスランド語-is,Grænn laukur,laukur
アイルランド語-ga,Oinniún glas,oinniún
アゼルバイジャン語-az,Yaşıl soğan,soğan
アフリカーンス語-af,Groenui,ui
アムハラ語-am,አረንጓዴ ሽንኩርት,ሽንኩርት
アラビア語-ar,بصل أخضر,بصلة
アルバニア語-sq,Qepë e gjelbërt,qepë
アルメニア語-hy,Կանաչ սոխ,սոխ
イタリア語-it,Cipolla verde,cipolla
イディッシュ語-yi,גרינע צוויבל,ציבעלע
イボ語-ig,Akwụkwọ ndụ akwụkwọ ndụ,yabasị
インドネシア語-id,Bawang hijau,Bawang
ウイグル語-ug,يېشىل پىياز,پىياز
ウェールズ語-cy,Winwns gwyrdd,winwns
ウクライナ語-uk,Зелена цибуля,цибуля
ウズベク語-uz,Yashil piyoz,piyoz
ウルドゥ語-ur,ہری پیاز,پیاز
エストニア語-et,Roheline sibul,sibul
エスペラント語-eo,Verda cepo,cepo
オランダ語-nl,Groene ui,ui
オリヤ語-or,ସବୁଜ ପିଆଜ,ପିଆଜ |
カザフ語-kk,Жасыл пияз,пияз
カタルーニャ語-ca,Ceba verda,ceba
ガリシア語-gl,Cebola verde.,cebola
カンナダ語-kn,ಹಸಿರು ಈರುಳ್ಳಿ,ಈರುಳ್ಳಿ
キニヤルワンダ語-rw,Icyatsi kibisi,igitunguru
ギリシャ語-el,Φρέσκο κρεμμυδάκι,κρεμμύδι
キルギス語-ky,Жашыл пияз,пияз
グジャラト語-gu,લીલી ડુંગળી,ડુંગળી
クメール語-km,ខ្ទឹមបារាំងបៃតង,ខ្ទឹមបារាមង
クルド語-ku,Onion Green,pîvaz
クロアチア語-hr,Zeleni luk,luk
コーサ語-xh,I-anyanisi eluhlaza,itswele
コルシカ語-co,Cipolla verde,cipolla
サモア語-sm,Lanumeamata lanumeamata,aniani
ジャワ語-jw,Bawang ijo,bawang
ジョージア（グルジア）語-ka,Მწვანე ხახვი,ხახვი
ショナ語-sn,Girini hanyanisi,oion
シンド語-sd,گرحو پيارو,بصر
シンハラ語-si,කොළ ලූනු,ලූනු
スウェーデン語-sv,Grönlök,lök
ズールー語-zu,U-anyanisi oluhlaza,u-anyanini
スコットランド ゲール語-gd,Uinnean uaine,uinnean
スペイン語-es,Cebolla verde,cebolla
スロバキア語-sk,Zelená Cibuľa,Cibuľa
スロベニア語-sl,Zelena čebula,čebula
スワヒリ語-sw,Green vitunguu.,vitunguu
スンダ語-su,Bawang héjo,bawang
セブアノ語-ceb,Berde nga sibuyas,sibuyas
セルビア語-sr,Млади црни лук,лук
ソト語-st,Onion e tala,Anyanese
ソマリ語-so,Basal cagaaran,basal
タイ語-th,หัวหอมสีเขียว,หัวหอม
タガログ語-tl,Berdeng sibuyas,sibuyas
タジク語-tg,Пиёз сабз,пиёз
タタール語-tt,Яшел пияз,суган
タミル語-ta,பச்சை வெங்காயம்,வெங்காயம்
チェコ語-cs,Zelená cibule,cibule
チェワ語-ny,Obiriwira anyezi,anyezi
テルグ語-te,ఆకుపచ్చ ఉల్లిపాయ,ఉల్లిపాయ
デンマーク語-da,Grønt løg,løg
ドイツ語-de,Grüne Zwiebel,Zwiebel
トルクメン語-tk,Ýaşyl sogan,sogan
トルコ語-tr,Yeşil soğan,soğan
ネパール語-ne,हरियो प्याज,प्याज
ノルウェー語-no,Grønn løk,løk
ハイチ語-ht,Zonyon vèt,zonyon
ハウサ語-ha,Onion Green,albasa
パシュト語-ps,زرغون پیاز,پیاز
バスク語-eu,Tipula berdea,tipula
ハワイ語-haw,Ka pua'ōmaʻomaʻo,mionana
ハンガリー語-hu,Zöld hagyma,hagyma
パンジャブ語-pa,ਹਰੇ ਪਿਆਜ਼,ਪਿਆਜ
ヒンディー語-hi,हरी प्याज,प्याज
フィンランド語-fi,Vihreä sipuli,sipuli
フランス語-fr,Oignon vert,oignon
フリジア語-fy,Griene sipel,sipel
ブルガリア語-bg,Зелен лук,лук
ベトナム語-vi,Hành lá,củ hành
ヘブライ語-iw,בצל ירוק,בצל
ベラルーシ語-be,Зялёны лук,цыбуля
ペルシャ語-fa,پیازچه,پیاز
ベンガル語-bn,সবুজ পেঁয়াজ,পেঁয়াজ
ポーランド語-pl,Zielona cebula,cebula
ボスニア語-bs,Zeleni luk,luk
ポルトガル語-pt,Cebola verde,cebola
マオリ語-mi,Aniona matomato,aniana
マケドニア語-mk,Зелен кромид,кромид
マラーティー語-mr,हिरव्या कांदा,कांदा
マラガシ語-mg,Green Onion,tongolo
マラヤーラム語-ml,പച്ച ഉള്ളി,ഉള്ളി
マルタ語-mt,Onion aħdar,Onion.
マレー語-ms,Bawang hijau,bawang
ミャンマー語-my,အစိမ်းရောင်ကြက်သွန်,ကြက်သွန်နီ
モンゴル語-mn,Ногоон сонгино,сонгино
モン語-hmn,Ntsuab dos,lub dos
ヨルバ語-yo,Alubosa alawọ ewe,Alubosa
ラオ語-lo,ຜັກບົ່ວຂຽວ,ຜັກບົ່ວ
ラテン語-la,viridi cepa,cepa
ラトビア語-lv,Zaļie sīpoli,sīpols
リトアニア語-lt,Žalias svogūnas,svogūnai
ルーマニア語-ro,Ceapa verde,ceapă
ルクセンブルク語-lb,Gréng Zwiebel,doiicht
ロシア語-ru,Зеленый лук,лук
英語-en,Green onion,onion
韓国語-ko,실파,양파
中国語-zh-CN,葱,洋葱
日本語-ja,青ねぎ,玉ねぎ
